Id,MSSubClass,LotArea,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,YrSold,SalePrice
1,60,8450,1Fam,2Story,7,5,2003,2003,Gd,TA,PConc,Gd,TA,856,Ex,856,854,1710,2,1,3,Gd,8,Typ,0,NA,2,548,TA,TA,0,61,0,0,0,2008,208500
2,20,9600,1Fam,1Story,6,8,1976,1976,TA,TA,CBlock,Gd,TA,1262,Ex,1262,0,1262,2,0,3,TA,6,Typ,1,TA,2,460,TA,TA,298,0,0,0,0,2007,181500
3,60,11250,1Fam,2Story,7,5,2001,2002,Gd,TA,PConc,Gd,TA,920,Ex,920,866,1786,2,1,3,Gd,6,Typ,1,TA,2,608,TA,TA,0,42,0,0,0,2008,223500
4,70,9550,1Fam,2Story,7,5,1915,1970,TA,TA,BrkTil,TA,Gd,756,Gd,961,756,1717,1,0,3,Gd,7,Typ,1,Gd,3,642,TA,TA,0,35,272,0,0,2006,140000
5,60,14260,1Fam,2Story,8,5,2000,2000,Gd,TA,PConc,Gd,TA,1145,Ex,1145,1053,2198,2,1,4,Gd,9,Typ,1,TA,3,836,TA,TA,192,84,0,0,0,2008,250000
6,50,14115,1Fam,1.5Fin,5,5,1993,1995,TA,TA,Wood,Gd,TA,796,Ex,796,566,1362,1,1,1,TA,5,Typ,0,NA,2,480,TA,TA,40,30,0,320,0,2009,143000
7,20,10084,1Fam,1Story,8,5,2004,2005,Gd,TA,PConc,Ex,TA,1686,Ex,1694,0,1694,2,0,3,Gd,7,Typ,1,Gd,2,636,TA,TA,255,57,0,0,0,2007,307000
8,60,10382,1Fam,2Story,7,6,1973,1973,TA,TA,CBlock,Gd,TA,1107,Ex,1107,983,2090,2,1,3,TA,7,Typ,2,TA,2,484,TA,TA,235,204,228,0,0,2009,200000
9,50,6120,1Fam,1.5Fin,7,5,1931,1950,TA,TA,BrkTil,TA,TA,952,Gd,1022,752,1774,2,0,2,TA,8,Min1,2,TA,2,468,Fa,TA,90,0,205,0,0,2008,129900
10,190,7420,2fmCon,1.5Unf,5,6,1939,1950,TA,TA,BrkTil,TA,TA,991,Ex,1077,0,1077,1,0,2,TA,5,Typ,2,TA,1,205,Gd,TA,0,4,0,0,0,2008,118000
11,20,11200,1Fam,1Story,5,5,1965,1965,TA,TA,CBlock,TA,TA,1040,Ex,1040,0,1040,1,0,3,TA,5,Typ,0,NA,1,384,TA,TA,0,0,0,0,0,2008,129500
12,60,11924,1Fam,2Story,9,5,2005,2006,Ex,TA,PConc,Ex,TA,1175,Ex,1182,1142,2324,3,0,4,Ex,11,Typ,2,Gd,3,736,TA,TA,147,21,0,0,0,2006,345000
13,20,12968,1Fam,1Story,5,6,1962,1962,TA,TA,CBlock,TA,TA,912,TA,912,0,912,1,0,2,TA,4,Typ,0,NA,1,352,TA,TA,140,0,0,0,176,2008,144000
14,20,10652,1Fam,1Story,7,5,2006,2007,Gd,TA,PConc,Gd,TA,1494,Ex,1494,0,1494,2,0,3,Gd,7,Typ,1,Gd,3,840,TA,TA,160,33,0,0,0,2007,279500
15,20,10920,1Fam,1Story,6,5,1960,1960,TA,TA,CBlock,TA,TA,1253,TA,1253,0,1253,1,1,2,TA,5,Typ,1,Fa,1,352,TA,TA,0,213,176,0,0,2008,157000
16,45,6120,1Fam,1.5Unf,7,8,1929,2001,TA,TA,BrkTil,TA,TA,832,Ex,854,0,854,1,0,2,TA,5,Typ,0,NA,2,576,TA,TA,48,112,0,0,0,2007,132000
17,20,11241,1Fam,1Story,6,7,1970,1970,TA,TA,CBlock,TA,TA,1004,Ex,1004,0,1004,1,0,2,TA,5,Typ,1,TA,2,480,TA,TA,0,0,0,0,0,2010,149000
18,90,10791,Duplex,1Story,4,5,1967,1967,TA,TA,Slab,NA,NA,0,TA,1296,0,1296,2,0,2,TA,6,Typ,0,NA,2,516,TA,TA,0,0,0,0,0,2006,90000
19,20,13695,1Fam,1Story,5,5,2004,2004,TA,TA,PConc,TA,TA,1114,Ex,1114,0,1114,1,1,3,Gd,6,Typ,0,NA,2,576,TA,TA,0,102,0,0,0,2008,159000
20,20,7560,1Fam,1Story,5,6,1958,1965,TA,TA,CBlock,TA,TA,1029,TA,1339,0,1339,1,0,3,TA,6,Min1,0,NA,1,294,TA,TA,0,0,0,0,0,2009,139000
21,60,14215,1Fam,2Story,8,5,2005,2006,Gd,TA,PConc,Ex,TA,1158,Ex,1158,1218,2376,3,1,4,Gd,9,Typ,1,Gd,3,853,TA,TA,240,154,0,0,0,2006,325300
22,45,7449,1Fam,1.5Unf,7,7,1930,1950,TA,TA,PConc,TA,TA,637,Ex,1108,0,1108,1,0,3,Gd,6,Typ,1,Gd,1,280,TA,TA,0,0,205,0,0,2007,139400
23,20,9742,1Fam,1Story,8,5,2002,2002,Gd,TA,PConc,Gd,TA,1777,Ex,1795,0,1795,2,0,3,Gd,7,Typ,1,Gd,2,534,TA,TA,171,159,0,0,0,2008,230000
24,120,4224,TwnhsE,1Story,5,7,1976,1976,TA,TA,PConc,Gd,TA,1040,TA,1060,0,1060,1,0,3,TA,6,Typ,1,TA,2,572,TA,TA,100,110,0,0,0,2007,129900
25,20,8246,1Fam,1Story,5,8,1968,2001,TA,Gd,CBlock,TA,TA,1060,Ex,1060,0,1060,1,0,3,Gd,6,Typ,1,TA,1,270,TA,TA,406,90,0,0,0,2010,154000
26,20,14230,1Fam,1Story,8,5,2007,2007,Gd,TA,PConc,Gd,TA,1566,Ex,1600,0,1600,2,0,3,Gd,7,Typ,1,Gd,3,890,TA,TA,0,56,0,0,0,2009,256300
27,20,7200,1Fam,1Story,5,7,1951,2000,TA,TA,CBlock,TA,TA,900,TA,900,0,900,1,0,3,Gd,5,Typ,0,NA,2,576,TA,TA,222,32,0,0,0,2010,134800
28,20,11478,1Fam,1Story,8,5,2007,2008,Gd,TA,PConc,Ex,TA,1704,Ex,1704,0,1704,2,0,3,Gd,7,Typ,1,Gd,3,772,TA,TA,0,50,0,0,0,2010,306000
29,20,16321,1Fam,1Story,5,6,1957,1997,TA,TA,CBlock,TA,TA,1484,TA,1600,0,1600,1,0,2,TA,6,Typ,2,Gd,1,319,TA,TA,288,258,0,0,0,2006,207500
30,30,6324,1Fam,1Story,4,6,1927,1950,TA,TA,BrkTil,TA,TA,520,Fa,520,0,520,1,0,1,Fa,4,Typ,0,NA,1,240,Fa,TA,49,0,87,0,0,2008,68500
31,70,8500,1Fam,2Story,4,4,1920,1950,TA,Fa,BrkTil,TA,TA,649,TA,649,668,1317,1,0,3,TA,6,Typ,0,NA,1,250,TA,Fa,0,54,172,0,0,2008,40000
32,20,8544,1Fam,1Story,5,6,1966,2006,TA,TA,CBlock,TA,TA,1228,Gd,1228,0,1228,1,1,3,Gd,6,Typ,0,NA,1,271,TA,TA,0,65,0,0,0,2008,149350
33,20,11049,1Fam,1Story,8,5,2007,2007,Gd,TA,PConc,Ex,TA,1234,Ex,1234,0,1234,2,0,3,Gd,7,Typ,0,NA,2,484,TA,TA,0,30,0,0,0,2008,179900
34,20,10552,1Fam,1Story,5,5,1959,1959,TA,TA,CBlock,TA,TA,1398,Gd,1700,0,1700,1,1,4,Gd,6,Typ,1,Gd,2,447,TA,TA,0,38,0,0,0,2010,165500
35,120,7313,TwnhsE,1Story,9,5,2005,2005,Ex,TA,PConc,Ex,TA,1561,Ex,1561,0,1561,2,0,2,Ex,6,Typ,1,Gd,2,556,TA,TA,203,47,0,0,0,2007,277500
36,60,13418,1Fam,2Story,8,5,2004,2005,Gd,TA,PConc,Ex,TA,1117,Ex,1132,1320,2452,3,1,4,Gd,9,Typ,1,Gd,3,691,TA,TA,113,32,0,0,0,2006,309000
37,20,10859,1Fam,1Story,5,5,1994,1995,TA,TA,PConc,Gd,TA,1097,Ex,1097,0,1097,1,1,3,TA,6,Typ,0,NA,2,672,TA,TA,392,64,0,0,0,2009,145000
38,20,8532,1Fam,1Story,5,6,1954,1990,TA,TA,CBlock,TA,TA,1297,Gd,1297,0,1297,1,0,3,TA,5,Typ,1,TA,2,498,TA,TA,0,0,0,0,0,2009,153000
39,20,7922,1Fam,1Story,5,7,1953,2007,TA,Gd,CBlock,TA,TA,1057,TA,1057,0,1057,1,0,3,Gd,5,Typ,0,NA,1,246,TA,TA,0,52,0,0,0,2010,109000
40,90,6040,Duplex,1Story,4,5,1955,1955,TA,TA,PConc,NA,NA,0,TA,1152,0,1152,2,0,2,Fa,6,Typ,0,NA,0,0,NA,NA,0,0,0,0,0,2008,82000
41,20,8658,1Fam,1Story,6,5,1965,1965,TA,TA,CBlock,TA,TA,1088,Ex,1324,0,1324,2,0,3,TA,6,Typ,1,TA,2,440,TA,TA,0,138,0,0,0,2006,160000
